[28-Apr-2014 07:44:58 Europe/Berlin] PHP Fatal error:  Class 'Slim\Slim' not found in /Applications/MAMP/htdocs/gumbo/app/index.php on line 2
[28-Apr-2014 07:46:39 Europe/Berlin] PHP Fatal error:  Class 'includes\vendor\slim\Slim\Slim' not found in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 07:47:59 Europe/Berlin] PHP Warning:  include_once(../includes/vendor/slim/Slim/Slim.php) [<a href='0function.include-once0'>function.include-once0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/app/index.php on line 2
[28-Apr-2014 07:47:59 Europe/Berlin] PHP Warning:  include_once() [<a href='0function.include0'>function.include0</a>]: Failed opening '../includes/vendor/slim/Slim/Slim.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/index.php on line 2
[28-Apr-2014 07:47:59 Europe/Berlin] PHP Fatal error:  Class 'Slim\Slim' not found in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 07:48:19 Europe/Berlin] PHP Fatal error:  Class 'Slim\Helper\Set' not found in /Applications/MAMP/htdocs/gumbo/includes/vendor/slim/slim/Slim/Slim.php on line 154
[28-Apr-2014 08:06:52 Europe/Berlin] PHP Warning:  include_once(includes/db/conn_header.php) [<a href='0function.include-once0'>function.include-once0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/app/gb_header.php on line 2
[28-Apr-2014 08:06:52 Europe/Berlin] PHP Warning:  include_once() [<a href='0function.include0'>function.include0</a>]: Failed opening 'includes/db/conn_header.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/gb_header.php on line 2
[28-Apr-2014 08:06:52 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/app/gb_header.php on line 11
[28-Apr-2014 08:06:52 Europe/Berlin] PHP Warning:  include_once(includes/session/session_header.php) [<a href='0function.include-once0'>function.include-once0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/app/gb_header.php on line 18
[28-Apr-2014 08:06:52 Europe/Berlin] PHP Warning:  include_once() [<a href='0function.include0'>function.include0</a>]: Failed opening 'includes/session/session_header.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/gb_header.php on line 18
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Warning:  file_get_contents(config.json) [<a href='0function.file-get-contents0'>function.file-get-contents0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 2
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 5
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 6
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:08:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/gb_header.php on line 11
[28-Apr-2014 08:09:25 Europe/Berlin] PHP Warning:  file_get_contents(../../config.json) [<a href='0function.file-get-contents0'>function.file-get-contents0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 2
[28-Apr-2014 08:09:25 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 5
[28-Apr-2014 08:09:25 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 6
[28-Apr-2014 08:09:25 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
[28-Apr-2014 08:09:25 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 9
